8.1.0,15,56
8,9,57
9,10,58
10,11,59
11,12,60
12,13,61
13,14,62
14,15,63
0,1,16
1,2,17
2,3,18
3,4,19
4,5,20
5,6,21
6,7,22
0,7,23
8,24,25
9,25,26
10,26,27
11,27,28
12,28,29
13,29,30
14,30,31
15,24,31
16,23,32
16,17,33
17,18,34
18,19,35
19,20,36
20,21,37
21,22,38
22,23,39
24,40,47
25,40,41
26,41,42
27,42,43
28,43,44
29,44,45
30,45,46
31,46,47
32,33,48
33,34,49
34,35,50
35,36,51
36,37,52
37,38,53
38,39,54
32,39,55
40,56,57
41,57,58
42,58,59
43,59,60
44,60,61
45,61,62
46,62,63
47,56,63
0,48,55
1,48,49
2,49,50
3,50,51
4,51,52
5,52,53
6,53,54
7,54,55
